,abstract,author,date,headline,section,source,word_count,id,candidate
18751,President Obama aide David Axelrod calls Hilary Rosen's comments inappropriate and offensive,By Aliyah Shahid AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-04-11,Ann Romney uses Twitter to fire back at Democratic strategist who says mother of five hadn't worked a day in her life,,New York Daily News,,18751,Romney
18752,His announcement came as polls showed the once-surging candidate behind Republican front-runner Mitt Romney in his home state of Pennsylvania,By Aliyah Shahid / NEW YORK DAILY NEWS,2012-04-11,Rick Santorum reflects on decision to suspend GOP presidential campaign: It was harder on my family  ,,New York Daily News,,18752,Romney
18755,"Hilary Rosen apologized to Ann Thursday afternoon in a statement, adding ""Let's declare peace in this phony war and go back to focus on the substance""","By Aliyah Shahid , Thomas M. Defrank AND Jonathan Lemire / NEW YORK DAILY NEWS",2012-04-12,Ann Romney on Hilary Rosen comments that she ‘has never worked’: ‘My career choice was to be a mother’ ,,New York Daily News,,18755,Romney
18756,Team Obama moved quickly on Thursday to distance themselves from the controversial remarks,By Aliyah Shahid / NEW YORK DAILY NEWS,2012-04-12,Who is Hilary Rosen --the Democratic strategist who said Ann Romney ‘never worked a day in her life’? ,,New York Daily News,,18756,Romney
18757,"The Duggars’ diehard support for Santorum included holding rallies in a dozen states and using their celebrity status to highlight Santorum’s stance on abortion, marriage and other conservative causes",By Brian Browdie / NEW YORK DAILY NEWS,2012-04-12,"TLC’s Duggar family will support Romney, now  that Santorum has ended Republican presidential bid  ",,New York Daily News,,18757,Romney
18761,She also apologized again for saying that Ann Romney has “never worked a day in her life.”,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-04-14,"Ann Romney's critic, Hilary Rosen, taking a TV time out ",,New York Daily News,,18761,Romney
18765,Trusted aide Beth Myers will run the V.P. vetting process,By Alison Gendar / NEW YORK DAILY NEWS,2012-04-16,Mitt Romney: the hunt is on for my vice president pick ,,New York Daily News,,18765,Romney
18767,Businessman to hold rally with Newt Gingrich in Buffalo Friday,By Kenneth Lovett / NEW YORK DAILY NEWS,2012-04-17,"Paladino rails at Romney, GOP bigs ",,New York Daily News,,18767,Romney
18770,The left has used the trips to paint the White House hopeful as uncaring,By Aliyah Shahid / NEW YORK DAILY NEWS,2012-04-17,Ann Romney defends husband Mitt Romney for  strapping dog to roof of car: Pooch ‘loved’ it  ,,New York Daily News,,18770,Romney
18773,GOP presidential hopeful says the agency needs to ‘clean house’,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-04-18,Mitt Romney: Secret Service agents in Colombian hookers scandal should be fired,,New York Daily News,,18773,Romney
18778,"Ronald Reagan spoke there in 1980, George H.W. Bush a decade later",By Jonathan Lemire / NEW YORK DAILY NEWS,2012-04-19,"Mitt Romney to deliver commencement address at Liberty University in Virginia, giving him a key platform to make a pitch to evangelicals ",,New York Daily News,,18778,Romney
18785,"Richard Grenell wrote about Hillary Clinton, Michelle Obama and Callista Gingrich on Twitter ",By Alison Gendar / NEW YORK DAILY NEWS,2012-04-22,Mitt Romney aide with history of snarky comments about women in politics removes hundreds of tweets from online profile,,New York Daily News,,18785,Romney
18787,Data also shows Rick Santorum rarely received positive coverage,THE ASSOCIATED PRESS,2012-04-23,Mitt Romney unofficially declared GOP nominee by media after Michigan win: study,,New York Daily News,,18787,Romney
18792,The former House Speaker expects Mitt Romney will be the Republican nominee and called on the party to back the former Massachusetts governor,By Aliyah Shahid / NEW YORK DAILY NEWS,2012-04-25,Newt Gingrich unofficially concedes presidential race to Mitt Romney  ,,New York Daily News,,18792,Romney
18795,"The former Massachusetts governor spoke as he swept primaries in Connecticut, Rhode Island, Delaware, Pennsylvania and New York, the first since Rick Santorum conceded the nomination",By The Associated Press / NEW YORK DAILY NEWS,2012-04-25,"Romney sweeps five wins, promises 'better America' ",,New York Daily News,,18795,Romney
18804,Both Romney have Obama have been visiting college campuses in recent weeks in attempt to woo young voters,By Aliyah Shahid / NEW YORK DAILY NEWS,2012-04-28,Mitt Romney to students who want to start their own business: Borrow money from your parents ,,New York Daily News,,18804,Romney
18805,"Beneath the moderate veneer, a right-wing agenda lurks",By Steve Benen / NEW YORK DAILY NEWS,2012-04-29,Real Romney: real scary,,New York Daily News,,18805,Romney
18810,Romney and President Obama are eager to win Bloomberg's support in White House race,By Tina Moore AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-01,Mitt Romney has breakfast with Mayor Bloomberg in New York City before meeting with Rudy Giuliani ,,New York Daily News,,18810,Romney
18812,Richard Grunell said talk of his personal life had become a distraction for the campaign,By Erik Ortiz / NEW YORK DAILY NEWS,2012-05-01,Mitt Romney's openly gay spokesman resigns amid concerns from conservatives over personal life ,,New York Daily News,,18812,Romney
18816,He offered seemingly lukewarm words of support to presumptive Republican nominee Mitt Romney,By Aliyah Shahid AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-02,Newt Gingrich ends Republican presidential campaign ,,New York Daily News,,18816,Romney
18826,Sir Charles slams Romney during Celtics - Hawks playoff game,By Philip Caulfield / NEW YORK DAILY NEWS,2012-05-07,"Charles Barkley dunks Mitt Romney, telling GOP pick ‘We’re going to beat you like a drum in November'",,New York Daily News,,18826,Romney
18832,"The ""Turn Back Time"" singer did not seem bothered by a Twitter user who suggested Cher probably lost half of her fans due to her inflammatory remarks.",By Aliyah Shahid / NEW YORK DAILY NEWS,2012-05-08,Cher rips Mitt Romney and his ‘right wing racist  homophobic women hating tea bagger masters’  ,,New York Daily News,,18832,Romney
18835,The former Pennsylvania senator once called Romney the 'worst Republican in the country' ,By Aliyah Shahid / NEW YORK DAILY NEWS,2012-05-09,Rick Santorum explains to Jay Leno why he waited  until 11 p.m. to endorse Mitt Romney for President ,,New York Daily News,,18835,Romney
18839,Report: Romney and friends pinned down John Lauber and cut his hair at Cranbrook School in Michigan,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-10,"Mitt Romney, accused of forcibly cutting the hair of a flamboyant fellow prep student, apologizes for high school pranks",,New York Daily News,,18839,Romney
18850,GOP Presidential candidate delivers commencement address at Liberty University,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-12,"Mitt Romney courts Evangelical voters, slams same-sex marriage at conservative Virginia school ",,New York Daily News,,18850,Romney
18855,Tea Party hero Paul asks backers to keep battling GOP front-runner Romney at state party level,By News Wire Services,2012-05-14,Ron Paul bags primary campaign efforts vs. Mitt Romney,,New York Daily News,,18855,Romney
18861,"If he were to run on Romney's ticket, he wouldn't even be able to deliver his home state, according to the survey ",By Aliyah Shahid / NEW YORK DAILY NEWS,2012-05-16,"Chris Christie, NJ governor, wouldn’t be happy playing  ‘second fiddle’ as Mitt Romney’s vice president: Poll  ",,New York Daily News,,18861,Romney
18862,"GOP presidential hopeful worth $230M, far more than Obama, study shows ",By Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-16,Mitt Romney could be richest man to ever live in White House,,New York Daily News,,18862,Romney
18865,"He suggests Romney emulate former President Ronald Reagan, who appeared in more than 50 films and served as president of the Screen Actors Guild",By Brian Browdie / NEW YORK DAILY NEWS,2012-05-17,‘Inside the Actors Studio’ host James Lipton offers acting advice to Mitt Romney  ,,New York Daily News,,18865,Romney
18867,"'I want to make it very clear, I repudiate that effort,' Mitt says",By Alison Gendar AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-17,Mitt Romney denounces a ‘proposal’ by conservative billionaire Joe Ricketts' Super PAC to resurrect the Rev. Jeremiah Wright as a campaign issue ,,New York Daily News,,18867,Romney
18877,Trump weighs in on Romney’s ‘best choice' for running mate: himself  ,By Meghan Neal And Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-24,Donald Trump hints he might have sights on the VP slot ,,New York Daily News,,18877,Romney
18884,"""Certain amount of personal ego in that,"" Giuliani tells CNN on Sunday",By Alison Gendar / NEW YORK DAILY NEWS,2012-05-27,"Rudy Giuliani: Mitt Romney’s record is great,  just not compared to mine as NYC mayor ",,New York Daily News,,18884,Romney
18889,Former Mass. governor collects enough delegates to become his party's candidate against Obama,THE ASSOCIATED PRESS,2012-05-29,Mitt Romney clinches GOP nomination for president with Texas win,,New York Daily News,,18889,Romney
18893,"Trump has become a visible, if not always effective, Romney surrogate",By Jonathan Lemire / NEW YORK DAILY NEWS,2012-05-30,"Donald Trump, who will headline a Las Vegas fund-raiser for Mitt Romney Tuesday, caused a stir with another ‘birther’ comment ",,New York Daily News,,18893,Romney
18894,Presumptive Republican nominee is butt of jokes following gaffe,By David Boroff / NEW YORK DAILY NEWS,2012-05-30,The United States of 'Amercia'? Mitt Romney campaign misspells name of nation he wants to lead in new iPhone app,,New York Daily News,,18894,Romney
18897,Republican Presidential candidate's wife declined to dish on what she disagrees with him on,By Brian Browdie / NEW YORK DAILY NEWS,2012-05-31,Ann Romney says she agrees with her husband  '90 percent' of the time ,,New York Daily News,,18897,Romney
18898,The former President undercuts a key Obama argument against the Republican challenger,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-06-01,Bill Clinton says Mitt Romney has a ‘sterling’ resume ,,New York Daily News,,18898,Romney
18900,Solar company that received grant from Romney during his time as Massachusetts governor went bankrupt,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-06-02,"Mitt Romney has a Solyndra-like failure in his past, too: report ",,New York Daily News,,18900,Romney
18925,Romney ran the 2002 Winter Olympics in Salt Lake City,By Corky Siemaszko / NEW YORK DAILY NEWS,2012-06-14,Mitt Romney’s wife is going for Olympic gold after her horse qualifies for U.S. equestrian team ,,New York Daily News,,18925,Romney
18926,GOP Presidential hopeful says Obamacare will be his to ‘repeal or replace’ if he’s elected ,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-06-14,Mitt Romney: Insurance companies should be allowed to deny coverage for pre-existing conditions,,New York Daily News,,18926,Romney
18927,Romney will visit seven key swing states over the next five days,NEW YORK DAILY NEWS,2012-06-15,Republican White House contender Mitt Romney  launches campaign bus tour ,,New York Daily News,,18927,Romney
18929,"A small but noisy group of protestors shouted throughout Mitt Romney's speech, which lasted about six minutes",THE ASSOCIATED PRESS,2012-06-17,Protesters shout ‘Romney go home!’ during campaign speech in Ohio,,New York Daily News,,18929,Romney
18935,Romney statement comes after flurry of reports saying Florida senator had been snubbed by Romney team,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-06-19,Mitt Romney: Marco Rubio is being 'thoroughly' vetted by campaign as possible VP pick,,New York Daily News,,18935,Romney
18938,Bloomberg compared Obama's economic record unfavorably to his own,By Tina Moore AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-06-20,"Bloomberg plays coy on a possible endorsement in the presidential race, as Romney and GOP bigs prepare for Utah powwow ",,New York Daily News,,18938,Romney
18946,"White House reporter related Republican presidential candidate to hosts of 'Fox and Friends,' whom he characterized as 'white folks who are very much relaxed in their own company.'",By Brian Browdie / NEW YORK DAILY NEWS,2012-06-23,"Politico suspends reporter, Joe Williams, for saying  Mitt Romney is 'comfortable' with 'white folks' ",,New York Daily News,,18946,Romney
18954,"Reality-TV star Donald Trump has announced a $50,000-a-head fundraiser, but the Republican Party's presumptive nominee is playing coy.",THE ASSOCIATED PRESS,2012-06-27,"Dinner with The Donald and Mitt Romney? Trump says yes, but campaign’s not so sure ",,New York Daily News,,18954,Romney
18955,N.J. Gov. Chris Christie also told a town hall audience in Mahwah on Wednesday that he has no inside information on who the likely GOP presidential nominee will pick as his running mate. ,By The Associated Press / NEW YORK DAILY NEWS,2012-06-27,Christie says no running-mate request yet from Romney ,,New York Daily News,,18955,Romney
18960,"In a brief televised statement following the decision, Romney vowed that his first priority upon entering the White House would be repealing the so-called Obamacare law.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-06-29,Romney campaign donations hit $4.6 million following health care decision ,,New York Daily News,,18960,Romney
18961,"`I think people recognize that if you want to replace Obamacare you've got to replace President Obama. And the urgency of doing that is something which is galvanizing people across the country,' the presumptive GOP presidential nominee told donors.",THE ASSOCIATED PRESS,2012-06-29,Romney: Supreme Court didn't do the job,,New York Daily News,,18961,Romney
18962,"Frenemies forever?  Santorum, who waged a bitter primary campaign against the now-presumptive Republican nominee, slammed the health care law Romney championed as governor of Massachusetts during an interview with CNN.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-06-29,Santorum: Romneycare ‘hasn’t worked in Massachusetts’ ,,New York Daily News,,18962,Romney
18965,"Republicans blasted President Obama in 2008 for accepting donations from the same man, Aiham Alsammarae, who is linked to corruption in Iraq.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-02,Donations to Romney campaign from former Iraqi politician raise eyebrows ,,New York Daily News,,18965,Romney
18967,"Republican presumptive presidential nominee Mitt Romney's wife rarely talks about her illness, but recently gave a revealing interview.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-02,Ann Romney felt like she was ‘being eaten away’ in early stages of multiple sclerosis ,,New York Daily News,,18967,Romney
18968,Media mogul wants Republican presumptive presidential nominee Mitt Romney to drop his friends and get some 'real pros' as advisers.,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-02,Twitter trouble: Murdoch catches flak from Romney campaign after critical tweets ,,New York Daily News,,18968,Romney
18970,Presumptive GOP presidential nominee skilled at sloshy shussing and also expected to compete in  'Romney Olympics' with kin,By Alison Gendar / NEW YORK DAILY NEWS,2012-07-02,Summer vacationing Mitt Romney will go jump in the lake – on water skis ,,New York Daily News,,18970,Romney
18971,"Romney’s 6,700-square-foot, six-bedroom estate sits on 2.2 acres and is valued at about $3.5 million. The surrounding land, also owned by the Romneys, is worth millions more.",By Kristen A. Lee AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-03,A Very Romney vacation: Mitt plus 30 family members unwind in N.H. 	 ,,New York Daily News,,18971,Romney
18973,"Mitt Romney’s massive fortune - estimated to be as high as $250 million - is held in a complex and opaque network of offshore havens that are impossible to penetrate, according to a report in Vanity Fair. ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-03,Romney’s wealth well hidden in offshore accounts: report ,,New York Daily News,,18973,Romney
18974,Sen. Rob Portman of Ohio comes in at the top of the contenders' heap with a fortune estimated at $6.72m. Rising star Sen. Marco Rubio of Florida has a net worth of negative $400k thanks to the real estate bubble.,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-03,Republican presidential candidate Mitt Romney’s possible Veep picks include some of richest and poorest in Congress ,,New York Daily News,,18974,Romney
18978,"When Mitt Romney marched in a small town Fourth of July parade, many eyes turned to the tanned woman at his side: vice presidential contender Kelly Ayotte, the young N.H. senator who meets a lot of VP requirements. ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-04,"Mitt Romney vice presidential contender Kelly Ayotte may resemble Sarah Palin, but the New Hampshire senator has earned a serious reputation ",,New York Daily News,,18978,Romney
18979,"It was an 'awkward moment' when the Marines struck up with the strains of 'It's America,' the song Mitt Romney uses as he takes the stage at campaign events",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-05,Marine Corps musicians strike off-key note at White House July 4 event ,,New York Daily News,,18979,Romney
18982,"Sen. Kelly Ayotte, R-N.H., would move up to the top tier of contenders in the veepstakes if the GOP's presumptive presidential nominee decides he wants a woman to join the ticket, pundits say.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-05,Ann Romney says Mitt’s campaign is considering a female running mate,,New York Daily News,,18982,Romney
18990,Republican presidential challenger made stops at Revlon chairman Ronald Perlman's 40-room castle and conservative mega-donor David Koch's $18 million manse for a $75G-a-couple dinner,By Alison Gendar / NEW YORK DAILY NEWS,2012-07-08,Mitt Romney hits the Hamptons and adds $3 million to his campaign war chest,,New York Daily News,,18990,Romney
18991,"Ohio Sen. Rob Portman may be moving up the short list of Mitt Romney’s potential running mates, while South Carolina Gov. Nikki Haley appears to have dropped off.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-10,"Ohio's Portman moving up Mitt's VP short list, while S.C.'s Haley says she is out  ",,New York Daily News,,18991,Romney
18994," Mitt Romney is still playing defense on the issue of his personal finances, insisting in a radio interview that there is 'nothing hidden' in his offshore accounts and that he doesn’t 'even know where they are.'",By Kristen A. Le / NEW YORK DAILY NEWS,2012-07-10,"Romney: My blind trust holds offshore accounts, hiding nothing ",,New York Daily News,,18994,Romney
18996,"Mitt Romney isn't going to win the black vote, but he will make his best pitch to African-Americans in a major speech at the NAACP's annual meeting.",THE ASSOCIATED PRESS,2012-07-11,Mitt Romney to pitch African-American voters in speech to NAACP conference ,,New York Daily News,,18996,Romney
18997,Crowd roars when Romney said he'd be a better President for blacks than President Obama,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-11,Republican presidential pick Mitt Romney hears boo birds during speech to NAACP ,,New York Daily News,,18997,Romney
18998,"Republican candidate Mitt Romney was listed as the chairman and CEO of Bain Capital on certain government documents years after 1999, when he ostensibly left the private equity firm, The Boston Globe reports.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-12,Romney listed as Bain CEO on gov’t forms years after he says he quit: report ,,New York Daily News,,18998,Romney
18999,"While the numbers break down largely along party lines, the significant percentage of independents turned off by the Republican candidate's riches could have an impact in November.",By Brian Browdie / NEW YORK DAILY NEWS,2012-07-12,Mitt Romney's wealth makes 20% of voters less likely to vote for him: poll  ,,New York Daily News,,18999,Romney
19002,Top Democrat refuses to elaborate on her comment. The NAACP itself praised the presumptive Republican nominee to sticking to his guns in front of an unfriendly audience.,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-12,House Minority Leader Nancy Pelosi says Mitt Romney made a ‘calculated move’ to get booed at NAACP,,New York Daily News,,19002,Romney
19003,"Former VP Dick Cheney may be divisive among swing voters, but he is expected to boost Mitt Romney with Republican conservatives when he hosts a fundraiser and private dinner for the Republican candidate this week.",By Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-12,Dick Cheney to host event for Mitt Romney at his Wyoming home ,,New York Daily News,,19003,Romney
19006,Santorum repeatedly bashed Romney during their bitter Republican primary,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-13,Rick Santorum to campaign for Romney in former Pennsylvania district,,New York Daily News,,19006,Romney
19008,The Drudge Report stirred up the latest buzz Thursday night by reporting that Romney is seriously considering the former secretary of state as a potential running mate.,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-13,Vice President Condi? Rice is subject of latest Veepstakes buzz ,,New York Daily News,,19008,Romney
19012,"South Dakota senator visits the Republican presidential candidate’s campaign headquarters in Boston and meets Beth Myers, who is leading the veep search. ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-16,Sen. John Thune stokes vice president chatter amid reports Romney is close to an announcement ,,New York Daily News,,19012,Romney
19016,Ohio Sen. Rob Portman and ex-Minnesota Gov. Tim Pawlenty head list of likely running mates,By Thomas M. Defrank / NEW YORK DAILY NEWS,2012-07-17,Medal-winner in Mitt Romney veep stakes won't be known until after Olympic Games,,New York Daily News,,19016,Romney
19019,Wife of Republican presidential candidate Mitt Romney debunks speculation that a vice presidential choice could be announced as early as this week.  ,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-18,Ann Romney says her husband's veep decision is ‘not quite there yet’ ,,New York Daily News,,19019,Romney
19020,The presumptive Republican presidential nominee’s campaign denies that black GOP politicos were brought in specifically for the event where the candidate received a lukewarm reception. ,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-18,NAACP official says Mitt Romney brought his own black supporters to speech,,New York Daily News,,19020,Romney
19021,Republican presidential candidate Mitt Romney’s wife participates in the elite equine hobby as part of her therapy for multiple sclerosis.  ,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-19,Democrats rein in dressage horse attack ads after offending Romney campaign,,New York Daily News,,19021,Romney
19022,"The former secretary of state was picked as the best choice for vice president by a third of those polled, while Florida Sen. Marco Rubio came in second with 19 percent. ",By Brian Browdie / NEW YORK DAILY NEWS,2012-07-19,Condoleezza Rice tops Republican poll for Mitt Romney’s running mate ,,New York Daily News,,19022,Romney
19024,"Romney needs to stear clear of Dubya, but he also can't snub him",By Thomas M. Defrank / NEW YORK DAILY NEWS,2012-07-23,"Mitt Romney's invitation to former President George W. Bush to attend the GOP convention next month was a classic political maneuver, and a good fix to a thorny problem",,New York Daily News,,19024,Romney
19025,"The Republican presidential candidate said he was relaying comments made by the Aussie foreign minister, but Bob Carr says he meant to expres confidence in the U.S. economy, not undermine it.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-23,Mitt Romney and Australian official disagree on comment that U.S. is ‘in decline’ ,,New York Daily News,,19025,Romney
19031,"Although President Obama has more than 17 million Twitter followers, it raised eyebrows when the official Romney Twitter account (@mittromney) suddenly jumped from 670,000 to 808,000 followers - up 20% - in just one weekend. Are they all just Twitter bots? ",By Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-24,"Twitter Mystery: How did Mitt Romney get 140,000 new followers in just two days?",,New York Daily News,,19031,Romney
19032,"Washington may be 'Hollywood for the ugly,' but D.C. types still get excited over The Hill's ranking of Washington's 50 most beautiful politicos, one of whom may be Romney's veep pick.",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-25,Meet the 'Capitol Hill Kardashian': D.C.’s 50 most beautiful includes reality star’s double  ,,New York Daily News,,19032,Romney
19033,"VP Joe Biden fires back, saying the 'assertion is beneath a presidential campaign'",By Kristen A. Lee AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-25,"Mitt Romney lands in England, and is greeted by controversy over an aide anonymously telling a British paper that the GOP challenger, and not the President, understands the ‘Anglo-Saxon heritage’  ",,New York Daily News,,19033,Romney
19035, An aide to the presidential candidate promises Mitt Romney will strengthen the ‘special relationship’ between the U.S. and Britain because a shared ethnic background helps the soon-to-be nominee understand it better than President Obama does.,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-25,Mitt Romney adviser raises eyebrows touting ‘Anglo-Saxon heritage’ to UK paper,,New York Daily News,,19035,Romney
19037,Romney may have even miffed his wife by saying that he won't be watching his wife's horse compete for an Olympic medal in the dressage competition,By Christina Boyle In London AND Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-26,Mitt Romney’s flub-filled visit to the United Kingdom continued Thursday when the GOP challenger drew a subtle rebuke from PM David Cameron over a critical comment about the planning of the London Games ,,New York Daily News,,19037,Romney
19039,"Republican presidential candidate had openly wondered how well the Games will turn out, citing troubles with private security contractor G4S, which will be unable to supply the promised number of guards. ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-26,Mitt Romney walks back comments on Olympic troubles as he kicks off UK visit ,,New York Daily News,,19039,Romney
19040,"Mitt Romney's American jobs-growth plans for the 2002 Winter Olympic Games in Salt Lake? 'Could care less' his face was on outsourced memorabilia, says a Romney spokesman. 'It became a very popular pin and generated revenue for the organizing committee, and that's where he was coming from.'",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-26,SMILING OUTSOURCER: 2002 Olympic pins bearing Mitt Romney’s face were made in China ,,New York Daily News,,19040,Romney
19042, Former Florida governor said he made the case for his state’s junior senator in a recent conversation with the Republican presumptive nominee. ,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-26,Jeb Bush still pushing for Marco Rubio to be Mitt Romney’s vice president,,New York Daily News,,19042,Romney
19046,GOP challenger Mitt Romney may wish he stayed home after another day of scathing criticism from the British press for a continuing series of gaffes that have marred what was supposed to be an credential-enhancing trip to England. ,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-27,‘Party-Pooper’ Mitt Romney wakes up to scathing UK headlines as London trip continues to go astray,,New York Daily News,,19046,Romney
19049,"'We must lead the effort to prevent Iran from building and possessing a nuclear weapons capability,' Romney said",By Matthew Kalman In Jerusalem AND Erin Durkin / NEW YORK DAILY NEWS,2012-07-29,"In a speech outside of Jerusalem’s Old City, Romney talked tough about responding to the Iranian nuke threat, and clarified confusion created by his aide ",,New York Daily News,,19049,Romney
19051,The Republican presidential candidate was greeted by cries of ‘Here comes the next president!’ and ‘Get rid of Obamacare!’ ,By Anthony Bartkewicz / NEW YORK DAILY NEWS,2012-07-29,Shouts of support for Mitt Romney at the Western Wall in Jerusalem ,,New York Daily News,,19051,Romney
19052,"Romney to give ""value of liberty"" speech targeting Russian leader and his rollback of democratic reforms. Mitt gets thumbs up from Lech Walesa, but Solidarity union he once led says ex-chief speaks only for himself in backing union foe ",By Kristen A. Lee AND Corky Siemaszko / NEW YORK DAILY NEWS,2012-07-30,Now misstepping Mitt to twit Vladimir Putin in Poland visit,,New York Daily News,,19052,Romney
19055,Palestinian leaders are calling Mitt Romney racist and out of touch for saying that Jewish culture helps make Israel more economically successful than its Palestinian neighbors.,THE ASSOCIATED PRESS,2012-07-30,Romney outrages Palestinians by saying Jewish culture helps make Israel more successful ,,New York Daily News,,19055,Romney
19057,"After the gaffes and missteps during his visits to England and Israel, Mitt Romney was hoping his expressions of support for Poland and the late Polish pontiff would play well with Polish-Americans back home in swing states, but the last leg of his trip did not go off without a hitch or two. ",By Jonathan Lemire / NEW YORK DAILY NEWS,2012-07-31,"Mitt Romney praises Poland, Pope John Paul II, in bid to impress Polish-American voters ",,New York Daily News,,19057,Romney
19059,"Members of the press had asked about previous controversies the candidate had stepped into on his three nation tour, which was meant to burnish his foreign credentials. ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-31,Mitt Romney aide tells reporters to ‘kiss my ass’ and ‘shove it’ on Polish leg of the Republican’s overseas trip ,,New York Daily News,,19059,Romney
19061,There's an app for that campaign: Both Romney and Obama have new iPhone and Android apps out that help voters stay informed and involved in their respective campaigns. ,By Kristen A. Lee / NEW YORK DAILY NEWS,2012-07-31,iVeep: Romney campaign to announce running mate pick with new smartphone app ,,New York Daily News,,19061,Romney
19062,Some politicos think that Ann's association with the sport is not a political winner for her husband,By Jonathan Lemire / NEW YORK DAILY NEWS,2012-08-01,"Rafalca, Ann Romney’s horse, competes in the Olympic dressage competition Thursday, and Mitt has not said whether he'll flip-flop on his previous claim that he won’t be watching  ",,New York Daily News,,19062,Romney
19063,"Whose the next VP? Smart money says it's between Ohio Sen. Rob Portman, former Minnesota Gov. Tim Pawlenty, Wisconsin Rep. Paul Ryan, Louisiana Gov. Bobby Jindal, N.H. Sen. Kelly Ayotte and Florida Sen. Marco Rubio. ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-08-01,Upcoming bus tour is focus of chatter about Romney’s running mate rollout ,,New York Daily News,,19063,Romney
19067,"Romney, speaking to what was described as an overflow crowd at the Jefferson County Fairgrounds in Golden, Colo., needed a stage, but had to settle for the top of a picnic table ",By Jonathan Lemire / NEW YORK DAILY NEWS,2012-08-02,"Ohio Sen. Rob Portman seemed to be trying to boost his positioning in the VP sweepstakes during an interview, while Mitt Romney chose an interesting place from which to give a campaign speech in Colorado  Thursday",,New York Daily News,,19067,Romney
19068,"Unwilling to name his sources, Senate Majority Leader Harry Reid is still insisting it's up to candidate Mitt Romney to prove that he didn't go 10 years without paying taxes. Romney retorts that he's paid everything required by law. ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-08-02,Harry Reid continues pushing allegations Mitt Romney paid no taxes for 10 years ,,New York Daily News,,19068,Romney
19069,"The presumptive GOP presidential nominee praised Israel for its government-run non-profit health care system, which cuts costs by requiring national health insurance and government-mandated benefits. Sound familiar? ",By Brian Browdie / NEW YORK DAILY NEWS,2012-08-02,Mitt Romney praises Israel's government-run health care system for keeping costs down ,,New York Daily News,,19069,Romney
19070,"President George W. Bush remains unpopular with swing voters, so the Ohio senator may be positioning himself to seem a better fit as Republican candidate Mitt Romney’s running mate, observers say.  ",By Kristen A. Lee / NEW YORK DAILY NEWS,2012-08-02,Vice presidential contender Rob Portman says he was ‘frustrated’ at times in Bush administration job ,,New York Daily News,,19070,Romney
